11:43:39,3/10/2018,0.02,5.96
11:43:49,3/10/2018,0.02,5.79
11:43:59,3/10/2018,0.02,5.93
11:44:10,3/10/2018,0.02,5.55
11:44:20,3/10/2018,0.03,6.32
11:44:30,3/10/2018,0.02,5.35
11:44:40,3/10/2018,0.03,6.17
11:44:51,3/10/2018,0.02,5.46
11:45:1,3/10/2018,0.02,5.89
11:45:11,3/10/2018,0.02,5.61
11:45:21,3/10/2018,0.03,6.32
11:45:32,3/10/2018,0.02,5.94
11:45:42,3/10/2018,0.02,5.80
11:45:52,3/10/2018,0.02,5.94
11:46:2,3/10/2018,0.03,6.04
11:46:13,3/10/2018,0.02,5.93
11:46:23,3/10/2018,0.03,6.07
11:46:33,3/10/2018,0.02,5.83
11:46:43,3/10/2018,0.03,6.12
11:46:54,3/10/2018,0.02,5.90
11:47:4,3/10/2018,0.03,6.02
11:47:14,3/10/2018,0.02,5.73
11:47:25,3/10/2018,0.03,6.28
11:47:35,3/10/2018,0.02,5.66
11:47:45,3/10/2018,0.03,6.17
11:47:55,3/10/2018,0.02,5.83
11:48:6,3/10/2018,0.03,6.21
11:48:16,3/10/2018,0.02,5.82
11:48:26,3/10/2018,0.03,6.08
11:48:36,3/10/2018,0.03,6.02
11:48:47,3/10/2018,0.02,5.95
11:48:57,3/10/2018,0.03,6.01
11:49:7,3/10/2018,0.02,5.96
11:49:17,3/10/2018,0.03,6.12
11:49:28,3/10/2018,0.02,5.76
11:49:38,3/10/2018,0.03,6.07
11:49:48,3/10/2018,0.02,5.62
11:49:59,3/10/2018,0.03,6.18
11:50:9,3/10/2018,0.02,5.77
11:50:19,3/10/2018,0.02,5.78
11:50:29,3/10/2018,0.03,6.09
11:50:40,3/10/2018,0.02,5.91
11:50:50,3/10/2018,0.03,6.10
11:51:0,3/10/2018,0.02,5.63
11:51:10,3/10/2018,0.02,5.59
11:51:21,3/10/2018,0.03,6.08
11:51:31,3/10/2018,0.02,5.59
11:51:41,3/10/2018,0.02,5.99
11:51:51,3/10/2018,0.02,5.59
11:52:2,3/10/2018,0.02,5.75
11:52:12,3/10/2018,0.03,6.04
11:52:22,3/10/2018,0.02,5.68
11:52:32,3/10/2018,0.03,6.07
11:52:43,3/10/2018,0.02,5.65
11:52:53,3/10/2018,0.02,5.88
11:53:3,3/10/2018,0.02,5.83
11:53:14,3/10/2018,0.02,5.52
11:53:24,3/10/2018,0.03,6.16
11:53:34,3/10/2018,0.02,5.57
11:53:44,3/10/2018,0.02,5.90
11:53:55,3/10/2018,0.03,6.31
11:54:5,3/10/2018,0.02,5.63
11:54:15,3/10/2018,0.03,6.28
11:54:25,3/10/2018,0.02,5.38
11:54:36,3/10/2018,0.03,6.21
11:54:46,3/10/2018,0.03,6.10
11:54:56,3/10/2018,0.02,5.95
11:55:6,3/10/2018,0.02,5.86
11:55:17,3/10/2018,0.02,5.80
11:55:27,3/10/2018,0.03,6.02
11:55:37,3/10/2018,0.02,5.91
11:55:48,3/10/2018,0.03,6.06
11:55:58,3/10/2018,0.03,6.00
11:56:8,3/10/2018,0.03,6.01
11:56:18,3/10/2018,0.02,5.88
11:56:29,3/10/2018,0.02,5.93
11:56:39,3/10/2018,0.02,5.62
11:56:49,3/10/2018,0.03,6.17
11:56:59,3/10/2018,0.02,5.79
11:57:10,3/10/2018,0.02,5.97
11:57:20,3/10/2018,0.02,5.74
11:57:30,3/10/2018,0.02,5.89
11:57:40,3/10/2018,0.02,5.71
11:57:51,3/10/2018,0.03,6.21
11:58:1,3/10/2018,0.03,6.05
11:58:11,3/10/2018,0.03,6.05
11:58:21,3/10/2018,0.03,6.06
11:58:32,3/10/2018,0.02,5.87
11:58:42,3/10/2018,0.03,6.03
11:58:52,3/10/2018,0.02,5.48
11:59:3,3/10/2018,0.03,6.04
11:59:13,3/10/2018,0.02,5.48
11:59:23,3/10/2018,0.03,6.06
11:59:33,3/10/2018,0.02,5.42
11:59:44,3/10/2018,0.03,6.23
11:59:54,3/10/2018,0.02,5.84
12:0:4,3/10/2018,0.03,6.19
12:0:14,3/10/2018,0.02,5.88
12:0:25,3/10/2018,0.03,6.25
12:0:35,3/10/2018,0.02,5.64
12:0:45,3/10/2018,0.02,5.92
12:0:55,3/10/2018,0.02,5.81
12:1:6,3/10/2018,0.02,5.90
12:1:16,3/10/2018,0.03,6.10
12:1:26,3/10/2018,0.02,5.60
12:1:37,3/10/2018,0.02,5.92
12:1:47,3/10/2018,0.02,5.72
12:1:57,3/10/2018,0.03,6.23
12:2:7,3/10/2018,0.02,5.89
12:2:18,3/10/2018,0.03,6.25
12:2:28,3/10/2018,0.02,5.37
12:2:38,3/10/2018,0.03,6.06
12:2:48,3/10/2018,0.02,5.86
12:2:59,3/10/2018,0.02,5.91
12:3:9,3/10/2018,0.03,6.23
12:3:19,3/10/2018,0.02,5.95
12:3:29,3/10/2018,0.03,6.16
12:3:40,3/10/2018,0.02,5.98
12:3:50,3/10/2018,0.02,5.97
12:4:0,3/10/2018,0.03,6.12
12:4:10,3/10/2018,0.02,5.45
12:4:21,3/10/2018,0.03,6.15
12:4:31,3/10/2018,0.02,5.98
12:4:41,3/10/2018,0.02,5.84
12:4:52,3/10/2018,0.03,6.35
12:5:2,3/10/2018,0.02,5.76
12:5:12,3/10/2018,0.03,6.02
12:5:22,3/10/2018,0.02,5.68
12:5:33,3/10/2018,0.02,5.64
12:5:43,3/10/2018,0.03,6.11
12:5:53,3/10/2018,0.02,5.80
12:6:3,3/10/2018,0.03,6.13
12:6:14,3/10/2018,0.03,6.06
12:6:24,3/10/2018,0.02,5.70
12:6:34,3/10/2018,0.03,6.20
12:6:44,3/10/2018,0.02,5.80
12:6:55,3/10/2018,0.02,5.95
12:7:5,3/10/2018,0.03,6.16
12:7:15,3/10/2018,0.02,5.74
12:7:25,3/10/2018,0.03,6.21
12:7:36,3/10/2018,0.02,5.88
12:7:46,3/10/2018,0.03,6.02
12:7:56,3/10/2018,0.03,6.03
12:8:7,3/10/2018,0.02,5.90
12:8:17,3/10/2018,0.02,5.91
12:8:27,3/10/2018,0.02,5.72
12:8:37,3/10/2018,0.03,6.05
12:8:48,3/10/2018,0.02,5.40
12:8:58,3/10/2018,0.02,5.98
12:9:8,3/10/2018,0.02,5.35
12:9:18,3/10/2018,0.03,6.01
12:9:29,3/10/2018,0.02,5.48
12:9:39,3/10/2018,0.03,6.11
12:9:49,3/10/2018,0.02,5.48
12:9:59,3/10/2018,0.03,6.01
12:10:10,3/10/2018,0.02,5.60
12:10:20,3/10/2018,0.03,6.10
12:10:30,3/10/2018,0.02,5.49
12:10:41,3/10/2018,0.02,5.85
12:10:51,3/10/2018,0.02,5.69
12:11:1,3/10/2018,0.02,5.87
12:11:11,3/10/2018,0.02,5.93
12:11:22,3/10/2018,0.03,6.05
12:11:32,3/10/2018,0.02,5.44
12:11:42,3/10/2018,0.02,5.79
12:11:52,3/10/2018,0.02,5.85
12:12:3,3/10/2018,0.02,5.84
12:12:13,3/10/2018,0.02,5.59
12:12:23,3/10/2018,0.02,5.78
12:12:33,3/10/2018,0.02,5.75
12:12:44,3/10/2018,0.02,5.80
12:12:54,3/10/2018,0.02,5.98
12:13:4,3/10/2018,0.02,5.85
12:13:14,3/10/2018,0.02,5.57
12:13:25,3/10/2018,0.02,5.88
12:13:35,3/10/2018,0.02,5.62
12:13:45,3/10/2018,0.02,5.77
12:13:56,3/10/2018,0.02,5.82
12:14:6,3/10/2018,0.02,5.88
12:14:16,3/10/2018,0.02,6.00
12:14:26,3/10/2018,0.02,5.80
12:14:37,3/10/2018,0.02,5.68
12:14:47,3/10/2018,0.02,5.70
12:14:57,3/10/2018,0.02,5.65
12:15:7,3/10/2018,0.02,5.64
12:15:18,3/10/2018,0.02,5.63
12:15:28,3/10/2018,0.03,6.12
12:15:38,3/10/2018,0.02,5.66
12:15:48,3/10/2018,0.03,6.19
12:15:59,3/10/2018,0.02,5.60
12:16:9,3/10/2018,0.03,6.20
12:16:19,3/10/2018,0.02,5.73
12:16:30,3/10/2018,0.03,6.07
12:16:40,3/10/2018,0.02,5.93
12:16:50,3/10/2018,0.02,5.30
12:17:0,3/10/2018,0.03,6.01
12:17:11,3/10/2018,0.02,5.50
12:17:21,3/10/2018,0.02,5.94
12:17:31,3/10/2018,0.03,6.20
12:17:41,3/10/2018,0.02,5.85
12:17:52,3/10/2018,0.03,6.03
12:18:2,3/10/2018,0.03,6.42
12:18:12,3/10/2018,0.03,6.02
12:18:22,3/10/2018,0.02,5.39
12:18:33,3/10/2018,0.02,5.76
12:18:43,3/10/2018,0.02,5.95
12:18:53,3/10/2018,0.03,6.02
12:19:3,3/10/2018,0.03,6.37
12:19:14,3/10/2018,0.02,5.90
12:19:24,3/10/2018,0.02,5.92
12:19:34,3/10/2018,0.02,5.65
12:19:45,3/10/2018,0.02,5.70
12:19:55,3/10/2018,0.02,5.52
12:20:5,3/10/2018,0.02,5.75
12:20:15,3/10/2018,0.02,5.23
12:20:26,3/10/2018,0.02,5.87
12:20:36,3/10/2018,0.02,5.76
12:20:46,3/10/2018,0.02,5.72
12:20:56,3/10/2018,0.02,5.88
12:21:7,3/10/2018,0.02,5.80
12:21:17,3/10/2018,0.02,5.50
12:21:27,3/10/2018,0.02,5.44
12:21:37,3/10/2018,0.02,5.86
12:21:48,3/10/2018,0.02,5.90
12:21:58,3/10/2018,0.02,5.80
12:22:8,3/10/2018,0.02,5.93
12:22:19,3/10/2018,0.02,5.85
12:22:29,3/10/2018,0.02,5.98
12:22:39,3/10/2018,0.02,5.98
12:22:49,3/10/2018,0.03,6.26
12:23:0,3/10/2018,0.03,6.12
12:23:10,3/10/2018,0.03,6.14
12:23:20,3/10/2018,0.02,5.91
12:23:30,3/10/2018,0.02,5.58
12:23:41,3/10/2018,0.02,5.69
12:23:51,3/10/2018,0.02,5.96
12:24:1,3/10/2018,0.03,6.28
12:24:11,3/10/2018,0.03,6.02
12:24:22,3/10/2018,0.02,5.58
12:24:32,3/10/2018,0.02,5.74
12:24:42,3/10/2018,0.03,6.27
12:24:52,3/10/2018,0.02,5.65
12:25:3,3/10/2018,0.02,5.73
12:25:13,3/10/2018,0.03,6.09
12:25:23,3/10/2018,0.02,5.68
12:25:34,3/10/2018,0.02,5.95
12:25:44,3/10/2018,0.03,6.12
12:25:54,3/10/2018,0.02,5.93
12:26:4,3/10/2018,0.03,6.14
12:26:15,3/10/2018,0.02,5.70
12:26:25,3/10/2018,0.02,5.51
12:26:35,3/10/2018,0.03,6.07
12:26:45,3/10/2018,0.02,5.22
12:26:56,3/10/2018,0.02,5.93
12:27:6,3/10/2018,0.02,5.80
12:27:16,3/10/2018,0.03,6.00
12:27:26,3/10/2018,0.02,5.26
12:27:37,3/10/2018,0.03,6.11
12:27:47,3/10/2018,0.02,5.74
